Date,Milk,Eggs,Bread,Sanitory,Food,Groceries
23/11/19,0 to 3,less than dozen,9 and above,0 to 500,0 to 500,500 to 1000
22/11/19,3 to 6,dozen,3 to 6,500 to 1000,500 to 1000,1000 and above
21/11/19,6 to 9,more than dozen,6 to 9,1000 and above,1000 and above,0 to 500
20/11/19,9 and above,dozen,3 to 6,500 to 1000,500 to 1000,500 to 1000
19/11/19,3 to 6,more than dozen,0 to 3,1000 and above,1000 and above,1000 and above
18/11/19,6 to 9,dozen,3 to 6,0 to 500,0 to 500,0 to 500
17/11/19,9 and above,more than dozen,6 to 9,500 to 1000,500 to 1000,500 to 1000
16/11/19,6 to 9,dozen,9 and above,1000 and above,1000 and above,1000 and above
15/11/19,9 and above,more than dozen,3 to 6,500 to 1000,0 to 500,0 to 500
14/11/19,3 to 6,less than dozen,6 to 9,500 to 1000,500 to 1000,500 to 1000
13/11/19,6 to 9,dozen,3 to 6,1000 and above,0 to 500,1000 and above
12/11/19,6 to 9,more than dozen,0 to 3,0 to 500,500 to 1000,0 to 500
11/11/19,9 and above,dozen,3 to 6,500 to 1000,1000 and above,500 to 1000
10/11/19,6 to 9,more than dozen,3 to 6,0 to 500,500 to 1000,0 to 500
09/11/19,9 and above,dozen,6 to 9,500 to 1000,1000 and above,500 to 1000
08/11/19,0 to 3,more than dozen,9 and above,1000 and above,0 to 500,1000 and above
07/11/19,3 to 6,dozen,0 to 3,500 to 1000,500 to 1000,1000 and above
06/11/19,0 to 3,more than dozen,3 to 6,1000 and above,1000 and above,500 to 1000
05/11/19,3 to 6,less than dozen,3 to 6,0 to 500,0 to 500,1000 and above
04/11/19,0 to 3,dozen,6 to 9,500 to 1000,500 to 1000,0 to 500
03/11/19,3 to 6,more than dozen,9 and above,1000 and above,0 to 500,500 to 1000
02/11/19,3 to 6,dozen,3 to 6,500 to 1000,500 to 1000,1000 and above
01/11/19,0 to 3,more than dozen,6 to 9,500 to 1000,1000 and above,0 to 500
31/10/19,3 to 6,dozen,9 and above,1000 and above,500 to 1000,500 to 1000
30/10/19,0 to 3,more than dozen,6 to 9,0 to 500,1000 and above,0 to 500
29/10/19,9 and above,dozen,9 and above,500 to 1000,0 to 500,500 to 1000
28/10/19,0 to 3,more than dozen,3 to 6,500 to 1000,500 to 1000,1000 and above
27/10/19,3 to 6,less than dozen,6 to 9,1000 and above,1000 and above,500 to 1000
26/10/19,0 to 3,dozen,9 and above,0 to 500,0 to 500,1000 and above
25/10/19,3 to 6,more than dozen,6 to 9,500 to 1000,500 to 1000,500 to 1000
